Name,Manufacturer,Version,Date,Platform,Class,WHQLSigned,enable,Hash,guid
Advanced Micro Devices Inc. SecurityDevices amdpsp.inf 5.18.0.0,Advanced Micro Devices Inc.,5.18.0.0,01/26/2022,x64,SecurityDevices,True,True,CF509F95D41BB29D401F50FD3936A1CEAF29684A85557AB9A387D9C3C6F24E8F,{a54fbd6e-a5c1-4931-bb5b-c6147744882b}
Advanced Micro Devices Inc. SecurityDevices amdpsp.inf 5.25.0.0,Advanced Micro Devices Inc.,5.25.0.0,07/31/2023,x64,SecurityDevices,True,True,0B0C99DC17812C1236CA18739142F2F11ABF64B97C621CCB37B5994A0C07B4D7,{e5ff070d-4dc9-404a-837e-efd1c7b5e15d}
Advanced Micro Devices Inc. System amdusb4cm.inf 1.0.0.21,Advanced Micro Devices Inc.,1.0.0.21,08/09/2022,x64,System,True,True,87434127A779F82A66B978AEE96411C8714D0E60A0B8CCB1B2ABCE2E2B73E126,{a6debc37-5687-4312-9198-50332ee204d5}
Advanced Micro Devices Inc. System amdusb4pcifilter.inf 1.0.0.6,Advanced Micro Devices Inc.,1.0.0.6,03/02/2022,x64,System,True,True,87434127A779F82A66B978AEE96411C8714D0E60A0B8CCB1B2ABCE2E2B73E126,{ae2ef789-f6af-4dc2-87c1-09dc2d4f8e21}
Advanced Micro Devices Inc. USB amdusbhubfilter.inf 1.0.0.6,Advanced Micro Devices Inc.,1.0.0.6,03/29/2022,x64,USB,True,True,87434127A779F82A66B978AEE96411C8714D0E60A0B8CCB1B2ABCE2E2B73E126,{5ff103a0-14b6-4ee8-b60f-ab2c54336eec}
Advanced Micro Devices Inc System amddrtm.inf 1.0.15.0,Advanced Micro Devices Inc,1.0.15.0,09/02/2021,x64,System,True,True,ACC25F5B04587568AE5679BE37B04EF1D6D1142F52B1315B7002A78F112554D4,{71dc80f1-bc22-4560-b523-3fecb7030fb9}
Advanced Micro Devices Inc System amddrtm.inf 1.0.16.4,Advanced Micro Devices Inc,1.0.16.4,02/23/2023,x64,System,True,True,CC5A387A45CDC539FEF82A6FDE79DB82C677DF14DE2E2A5D1893933F13C8194A,{71ec69e3-5cec-4bea-a864-a46e5a497da3}
Advanced Micro Devices Inc System amdgpio2.inf 2.2.0.130,Advanced Micro Devices Inc,2.2.0.130,06/09/2021,x64,System,True,True,6329A3756A13819CE395D9801A7FAB565E4FA27BFCB15E1E38A2F5372E131E4B,{1a1f91d6-0cd5-4001-a960-f32379a91434}
Advanced Micro Devices Inc System amdgpio2.inf 2.2.0.130 (1),Advanced Micro Devices Inc,2.2.0.130,09/15/2022,x64,System,True,True,9E48D37C21CF663E98C96C5D20E4455DDF8F002C38F90E84BA58B4E653E48DA9,{52db25b7-1dd3-42dc-918f-4186af1ead8d}
Advanced Micro Devices Inc System AMDInterface.inf 2.0.0.9,Advanced Micro Devices Inc,2.0.0.9,10/03/2022,x64 x86,System,True,True,5992B11F10719C2C224492543F006C9F4865805D1CBFAACDA48ADC4A84D2FE60,{6d9646ec-10b5-49d1-b3b0-1375350366f7}
Advanced Micro Devices Inc System SMBUSamd.inf 5.12.0.38,Advanced Micro Devices Inc,5.12.0.38,06/04/2021,x86 x64,System,True,True,6D3431CC0256CEDDF7D585E51FA126B8C55630F0AC6BB9F7D358E33D5588926D,{a1c9398d-e417-4c5d-833f-d6a82b6c3bd0}
Advanced Micro Devices Inc. HIDClass amdwirelessbutton.inf 1.0.0.2,Advanced Micro Devices Inc.,1.0.0.2,03/23/2021,x64,HIDClass,True,True,2AD3155C4EE69833C112FEB12E245C3B8C8FDD53CEB30E6B6EA594B2FE39004C,{9c19f966-c07b-4c9c-b57f-a701bc52ab4a}
Advanced Micro Devices Inc. HIDClass amdwirelessbutton.inf 1.0.0.2 (1),Advanced Micro Devices Inc.,1.0.0.2,09/15/2022,x64,HIDClass,True,True,AE6D855F27BC4216B64D8C1B025005712E97E199E3ADDA5D49CC9D1B8AC08BDA,{d2e011e4-6401-4c0d-b9f0-1ca33783d373}
Advanced Micro Devices Inc. SCSIAdapter rcbottom.inf 9.3.0.00266,Advanced Micro Devices Inc.,9.3.0.00266,03/10/2021,x64,SCSIAdapter,True,True,D11DC4F07ACE433EE1938DE18241347CF3CC4E7F96CE2FD1DAF086CF046000B7,{bc35a293-6067-4f6c-bfe0-deb3aab068b1}
Advanced Micro Devices Inc. SCSIAdapter rcraid.inf 7.2.0.00057,Advanced Micro Devices Inc.,7.2.0.00057,05/14/2018,x64,SCSIAdapter,True,True,CA0B4FD1C6BF69A7462493D9C4A579A805265EFF253A862AEEE5ACFFF86AA0FE,{d4244f52-2f39-4624-ace7-82dc16bb0c2d}
Advanced Micro Devices Inc. SCSIAdapter rcraid.inf 9.3.0.00266,Advanced Micro Devices Inc.,9.3.0.00266,03/10/2021,x64,SCSIAdapter,True,True,D11DC4F07ACE433EE1938DE18241347CF3CC4E7F96CE2FD1DAF086CF046000B7,{6785fefb-5696-4ed3-9f3f-b80d0bba7f59}
Advanced Micro Devices Inc. System amdi2c.inf 1.2.0.118,Advanced Micro Devices Inc.,1.2.0.118,01/11/2021,x64,System,True,True,18FEAFEEAB44548ECE5770AE41055272A1DDCBAE224040168FA068FA32CDF78D,{2e68a60a-cb09-4b84-bd60-b54b4c823b38}
